Ch;Frequency;Dup;Offset;TS;Mode;Name;SKIP;TONE;Repeater Tone;TSQL Frequency;DTCS Code;DTCS Polarity;DV SQL;DV CSQL Code;Your Call Sign;RPT1 Call Sign;RPT2 Call Sign
0;145,337500;OFF;0,600000;25kHz;FM;ARI MN - V;OFF;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
0;433,837500;OFF;7,600000;25kHz;FM;ARI MN - U;OFF;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
0;145,462500;OFF;0,600000;25kHz;FM;ARI VR - V;OFF;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
0;430,925000;DUP+;0,000000;25kHz;DV;HOTSPOT;OFF;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;IU2FRL K;IU2FRL G
0;;;;;;;;;;;;;;;;;
0;145,775000;DUP-;0,600000;6,25kHz;FM-N;R7 Gargano;OFF;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
0;430,200000;DUP+;1,600000;6,25kHz;FM;IR6UQ;OFF;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
0;430,087500;DUP+;1,600000;6,25kHz;FM;IR6UAE;OFF;TONE;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
0;;;;;;;;;;;;;;;;;
0;;;;;;;;;;;;;;;;;
0;145,550000;OFF;0,600000;25kHz;FM;YOTA 17 UK;OFF;OFF;67,0Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
0;145,525000;OFF;0,600000;6,25kHz;FM;YOTA 17 IT;OFF;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
0;;;;;;;;;;;;;;;;;
0;;;;;;;;;;;;;;;;;
0;;;;;;;;;;;;;;;;;
0;;;;;;;;;;;;;;;;;
0;;;;;;;;;;;;;;;;;
0;;;;;;;;;;;;;;;;;
0;;;;;;;;;;;;;;;;;
0;;;;;;;;;;;;;;;;;
0;430,350000;DUP+;5,000000;6,25kHz;FM;Rpt Superga;SKIP;TONE;82,5Hz;67,0Hz;023;BOTH N;OFF;0;CQCQCQ;;
0;430,300000;DUP+;1,600000;25kHz;FM;Link Nazionale;SKIP;TONE;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
0;430,025000;DUP+;1,600000;25kHz;FM;RU1 - VR;OFF;TONE;94,8Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
0;430,050000;DUP+;5,025000;25kHz;FM;RU2 - Baldo;OFF;TONE;94,8Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
0;430,175000;DUP+;1,600000;25kHz;FM;RU7 - Bologna;SKIP;TONE;77,0Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
0;430,412500;DUP+;5,000000;25kHz;FM;IR3UX;SKIP;TONE;94,8Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
